"FileName","Type","ShouldKeep","GlobalTables","BusinessTables","UnknownTables"
"V001__Create_initial_tables.sql","BUSINESS_ONLY","False","","exams, positions, subjects, applications, files, tickets, outbox_events","review_records"
"V002__Create_review_tasks.sql","BUSINESS_ONLY","False","","review_tasks",""
"V002_1__Create_user_tables.sql","GLOBAL_ONLY","True","users","",""
"V003__Create_venues_and_seating.sql","BUSINESS_ONLY","False","","venues, seat_assignments, allocation_batches",""
"V004__Create_ticket_numbering.sql","BUSINESS_ONLY","False","","ticket_number_rules, ticket_sequences",""
"V005__add_rules_config_to_exams.sql","BUSINESS_ONLY","False","","exams",""
"V006__create_exam_reviewers.sql","BUSINESS_ONLY","False","","exam_reviewers",""
"V007__Create_exam_admin_and_scores.sql","BUSINESS_ONLY","False","","exam_admins, exam_scores",""
"V008__Add_slug_to_exams.sql","BUSINESS_ONLY","False","","exams",""
"V009__Fix_version_constraints.sql","MIXED",,"users","applications",""
"V010__Create_tenant_tables.sql","GLOBAL_ONLY","True","tenants, user_tenant_roles","",""
"V011__Add_performance_indexes.sql","UNKNOWN",,"","",""
"V012__Create_tickets_table.sql","BUSINESS_ONLY","False","","tickets",""
"V013__Create_payment_orders_table.sql","BUSINESS_ONLY","False","","payment_orders",""
"V014__Enhance_ticket_number_rules.sql","BUSINESS_ONLY","False","","ticket_number_rules",""
"V015__Extend_columns_for_encryption.sql","UNKNOWN",,"","","public"
"V016__Extend_public_tickets_encrypted_columns.sql","UNKNOWN",,"","","public"
"V017__create_notification_templates_table.sql","GLOBAL_ONLY","True","notification_templates","",""
"V018__create_notification_histories_table.sql","GLOBAL_ONLY","True","notification_histories","",""
"V019__create_pii_access_logs_table.sql","GLOBAL_ONLY","True","pii_access_logs","",""
"V020__create_tenant_backups_table.sql","GLOBAL_ONLY","True","tenant_backups","",""
"V021__create_audit_logs_table.sql","GLOBAL_ONLY","True","audit_logs","",""
"V1.11__Add_exam_status_in_progress_completed.sql","UNKNOWN",,"","",""
"V999__Insert_BDD_test_data.sql","UNKNOWN",,"","",""
